従業員ID,部門,週当たり削減時間,満足度,月
4130,開発,8.0,3.0,9月
4131,人事,8.8,5.0,9月
4132,人事,7.0,5.0,9月
4133,人事,1.3,2.0,9月
4134,人事,6.9,3.0,9月
4135,人事,6.4,1.0,9月
4136,営業,5.3,1.0,10月
4137,営業,1.6,3.0,10月
4138,営業,3.5,,10月
4139,営業,5.8,5.0,10月
4140,営業,0.3,3.0,10月
4141,開発,3.8,4.0,10月
4142,開発,3.6,4.0,10月
4143,開発,9.4,1.0,10月
4144,開発,7.4,5.0,10月
4145,開発,2.0,4.0,10月
4146,人事,3.3,1.0,10月
4147,人事,7.4,4.0,10月
4148,人事,2.8,1.0,10月
4149,人事,8.8,4.0,10月
4150,人事,9.4,5.0,10月
4151,営業,6.7,2.0,11月
4152,営業,6.4,3.0,11月
4153,営業,5.1,3.0,11月
4154,営業,2.9,1.0,11月
4155,営業,2.1,5.0,11月
4156,開発,7.1,,11月
4157,開発,10.0,3.0,11月
4158,開発,,5.0,11月
4159,開発,7.9,3.0,11月
4160,開発,3.5,1.0,11月
4161,人事,0.2,3.0,11月
4162,人事,3.2,2.0,11月
4163,人事,8.1,5.0,11月
4164,人事,9.8,1.0,11月
4165,人事,4.8,3.0,11月
4166,営業,0.5,2.0,12月
4167,営業,1.3,3.0,12月
4168,営業,4.5,4.0,12月
4169,営業,1.2,5.0,12月
4170,営業,3.3,5.0,12月
4171,開発,,4.0,12月
4172,開発,6.3,4.0,12月
4173,開発,1.3,1.0,12月
4174,開発,10.0,4.0,12月
4175,開発,10.0,4.0,12月
4176,人事,7.3,1.0,12月
4177,人事,7.0,4.0,12月
4178,人事,6.6,5.0,12月
4179,人事,0.8,3.0,12月
4180,人事,7.6,3.0,12月
